loannumber,dateapproved,sbaofficecode,processingmethod,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,term,sbaguarantypercentage,initialapprovalamount,currentapprovalamount,undisbursedamount,franchisename,servicinglenderlocationid,servicinglendername,servicinglenderaddress,servicinglendercity,servicinglenderstate,servicinglenderzip,ruralurbanindicator,hubzoneindicator,lmiindicator,businessagedescription,projectcity,projectcountyname,projectstate,projectzip,cd,jobsreported,naicscode,race,ethnicity,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,businesstype,originatinglenderlocationid,originatinglender,originatinglendercity,originatinglenderstate,gender,veteran,nonprofit,forgivenessamount,forgivenessdate
7610927706,05/01/2020,0593,PPP,OHIO CDC ASSOCIATION,100 E BROAD ST,COLUMBUS,OH,43215,05/13/2021,Paid in Full,24,100,57000,57000,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,N,Unanswered,COLUMBUS,FRANKLIN,OH,43215-0001,OH-15,5,813910,Unanswered,Unknown/NotStated,,57000,,,,,,Non-Profit Organization,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,Y,57558.92,04/26/2021
7672017710,05/01/2020,0593,PPP,DR KENNETH CRAWFORD OD INC,7793 JOAN DR,WEST CHESTER,OH,45069-3682,04/10/2021,Paid in Full,24,100,57000,57000,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,WEST CHESTER,BUTLER,OH,45069-3682,OH-08,9,,Unanswered,Unknown/NotStated,,57000,,,,,,Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,57495.58,03/19/2021
7757797709,05/01/2020,0593,PPP,JOHN HENRY AND SONS LLC,6180 Winton Road,Fairfield,OH,45014,04/10/2021,Paid in Full,24,100,57000,57000,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,Fairfield,BUTLER,OH,45014-1000,OH-08,15,561990,Unanswered,Unknown/NotStated,,57000,,,,,,Limited  Liability Company(LLC),44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,57497.17,03/23/2021
7766237707,05/01/2020,0593,PPP,ELLI NAIL SPA LLC,2249 ASHBURY CLOSE,POWELL,OH,43065,04/10/2021,Paid in Full,24,100,57000,57000,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,POWELL,DELAWARE,OH,43065-0001,OH-04,7,713940,Unanswered,Unknown/NotStated,,57000,,,,,,Limited  Liability Company(LLC),44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,57495.58,03/18/2021
8180987205,04/28/2020,0593,PPP,CELL SITE CAPITAL LLC,1165 FORSYTH LN,GALENA,OH,43021-8028,05/21/2021,Paid in Full,24,100,57000,57000,0,,60009,First Commonwealth Bank,600 Philadelphia St,INDIANA,PA,15701-3904,U,N,N,Existing or more than 2 years old,GALENA,DELAWARE,OH,43021-8028,OH-04,3,237130,Unanswered,Unknown/NotStated,,57000,,,,,,Limited  Liability Company(LLC),60009,First Commonwealth Bank,INDIANA,PA,Unanswered,Unanswered,,57524.71,04/01/2021
8211248304,01/29/2021,0549,PPS,KOPACHKO MACHINING INC.,38341 Western Pkwy,Willoughby,OH,44094-7528,09/29/2021,Paid in Full,60,100,57000,57000,0,,434162,"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,02903-1344,U,N,N,Existing or more than 2 years old,Willoughby,LAKE,OH,44094-7528,OH-14,7,332710,Unanswered,Unknown/NotStated,1,56997,,,,,,Subchapter S Corporation,434162,"Citizens Bank, National Association",PROVIDENCE,RI,Unanswered,Unanswered,,57288.9,08/16/2021
8228747105,04/15/2020,0549,PPP,CASPER ENTERPRISE GROUP INC,7708 Twilight Drive,Mentor,OH,44060,06/18/2021,Paid in Full,24,100,57000,57000,0,,434162,"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,02903-1344,U,N,N,Existing or more than 2 years old,Mentor,LAKE,OH,44060-0900,OH-14,3,236115,Unanswered,Unknown/NotStated,,57000,,,,,,Subchapter S Corporation,434162,"Citizens Bank, National Association",PROVIDENCE,RI,Female Owned,Non-Veteran,,57609.04,05/25/2021
8314337107,04/15/2020,0593,PPP,SPEEDWAVZ LLC,33280 STATE ROUTE 739,RICHWOOD,OH,43344-9728,08/20/2021,Paid in Full,24,100,57000,57000,0,,58129,The Richwood Banking Company,24 E Blagrove St,RICHWOOD,OH,43344-1009,R,N,N,Existing or more than 2 years old,RICHWOOD,UNION,OH,43344-9728,OH-04,6,518210,Unanswered,Unknown/NotStated,,57000,,,,,,Subchapter S Corporation,58129,The Richwood Banking Company,RICHWOOD,OH,Unanswered,Unanswered,,57646.52,06/04/2021
8337548306,01/29/2021,0549,PPS,HARDING HEATING AND CONSTRUCTION INC,1094 N Union Ave,Alliance,OH,44601-1325,04/05/2022,Paid in Full,60,100,57000,57000,0,,57854,Consumers National Bank,614 E Lincoln Way,MINERVA,OH,44657-2009,U,Y,Y,Existing or more than 2 years old,Alliance,STARK,OH,44601-1325,OH-06,9,238220,White,Not Hispanic or Latino,1,56997,,,,,,Corporation,57854,Consumers National Bank,MINERVA,OH,Male Owned,Non-Veteran,,57424.33,11/01/2021
8374947202,04/28/2020,0549,PPP,"SIGNET CAPITAL, LLC",19 North High Street,Akron,OH,44308,07/15/2021,Paid in Full,24,100,57000,57000,0,,78932,CFBank National Association,"4960 E Dublin Granville Rd, Ste 400",Columbus,OH,43081,U,Y,Y,Existing or more than 2 years old,Akron,SUMMIT,OH,44308-0001,OH-13,3,523110,Unanswered,Unknown/NotStated,,57000,,,,,,Limited  Liability Company(LLC),78932,CFBank National Association,Columbus,OH,Unanswered,Unanswered,,57626.22,06/11/2021
